21:19:55.078340 git.c:502               trace: built-in: git send-pack --stateless-rpc --helper-status --thin --no-progress https://github.com/martybprod/tatrame.git/ --stdin
21:19:55.080172 run-command.c:673       trace: run_command: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
21:19:55.080184 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
21:19:55.085657 git.c:502               trace: built-in: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
21:19:56.185616 http.c:994              == Info: Found bundle for host: 0x1052a8060 [can multiplex]
21:19:56.185652 http.c:994              == Info: Re-using existing connection with host github.com
21:19:56.185664 http.c:994              == Info: Server auth using Basic with user 'martybprod'
21:19:56.185685 http.c:994              == Info: [HTTP/2] [5] OPENED stream for https://github.com/martybprod/tatrame.git/git-receive-pack
21:19:56.185691 http.c:994              == Info: [HTTP/2] [5] [:method: POST]
21:19:56.185693 http.c:994              == Info: [HTTP/2] [5] [:scheme: https]
21:19:56.185695 http.c:994              == Info: [HTTP/2] [5] [:authority: github.com]
21:19:56.185697 http.c:994              == Info: [HTTP/2] [5] [:path: /martybprod/tatrame.git/git-receive-pack]
21:19:56.185699 http.c:994              == Info: [HTTP/2] [5] [authorization: Basic <redacted>]
21:19:56.185700 http.c:994              == Info: [HTTP/2] [5] [user-agent: git/2.55.0]
21:19:56.185702 http.c:994              == Info: [HTTP/2] [5] [content-type: application/x-git-receive-pack-request]
21:19:56.185703 http.c:994              == Info: [HTTP/2] [5] [accept: application/x-git-receive-pack-result]
21:19:56.185705 http.c:994              == Info: [HTTP/2] [5] [content-length: 4]
21:19:56.185788 http.c:941              => Send header, 0000000309 bytes (0x00000135)
21:19:56.185792 http.c:953              => Send header: POST /martybprod/tatrame.git/git-receive-pack HTTP/2
21:19:56.185793 http.c:953              => Send header: Host: github.com
21:19:56.185795 http.c:953              => Send header: Authorization: Basic <redacted>
21:19:56.185796 http.c:953              => Send header: User-Agent: git/2.55.0
21:19:56.185798 http.c:953              => Send header: Content-Type: application/x-git-receive-pack-request
21:19:56.185799 http.c:953              => Send header: Accept: application/x-git-receive-pack-result
21:19:56.185800 http.c:953              => Send header: Content-Length: 4
21:19:56.185802 http.c:953              => Send header:
21:19:56.185804 http.c:994              == Info: upload completely sent off: 4 bytes
21:19:56.488691 http.c:941              <= Recv header, 0000000013 bytes (0x0000000d)
21:19:56.488706 http.c:953              <= Recv header: HTTP/2 200
21:19:56.488715 http.c:941              <= Recv header, 0000000026 bytes (0x0000001a)
21:19:56.488718 http.c:953              <= Recv header: server: GitHub-Babel/3.0
21:19:56.488733 http.c:941              <= Recv header, 0000000053 bytes (0x00000035)
21:19:56.488735 http.c:953              <= Recv header: content-type: application/x-git-receive-pack-result
21:19:56.488739 http.c:941              <= Recv header, 0000000054 bytes (0x00000036)
21:19:56.488740 http.c:953              <= Recv header: content-security-policy: default-src 'none'; sandbox
21:19:56.488743 http.c:941              <= Recv header, 0000000040 bytes (0x00000028)
21:19:56.488744 http.c:953              <= Recv header: expires: Fri, 01 Jan 1980 00:00:00 GMT
21:19:56.488748 http.c:941              <= Recv header, 0000000018 bytes (0x00000012)
21:19:56.488750 http.c:953              <= Recv header: pragma: no-cache
21:19:56.488752 http.c:941              <= Recv header, 0000000053 bytes (0x00000035)
21:19:56.488754 http.c:953              <= Recv header: cache-control: no-cache, max-age=0, must-revalidate
21:19:56.488756 http.c:941              <= Recv header, 0000000023 bytes (0x00000017)
21:19:56.488757 http.c:953              <= Recv header: vary: Accept-Encoding
21:19:56.488759 http.c:941              <= Recv header, 0000000045 bytes (0x0000002d)
21:19:56.488761 http.c:953              <= Recv header: strict-transport-security: max-age=31536000
21:19:56.488763 http.c:941              <= Recv header, 0000000019 bytes (0x00000013)
21:19:56.488765 http.c:953              <= Recv header: content-length: 0
21:19:56.488767 http.c:941              <= Recv header, 0000000037 bytes (0x00000025)
21:19:56.488768 http.c:953              <= Recv header: date: Fri, 11 Sep 2026 00:19:57 GMT
21:19:56.488770 http.c:941              <= Recv header, 0000000056 bytes (0x00000038)
21:19:56.488772 http.c:953              <= Recv header: x-github-request-id: 9D3F:47B05:19477E:20DE99:6AA3492C
21:19:56.488774 http.c:941              <= Recv header, 0000000027 bytes (0x0000001b)
21:19:56.488775 http.c:953              <= Recv header: x-github-edge-region: iad
21:19:56.488777 http.c:941              <= Recv header, 0000000023 bytes (0x00000017)
21:19:56.488778 http.c:953              <= Recv header: x-frame-options: DENY
21:19:56.488780 http.c:941              <= Recv header, 0000000002 bytes (0x00000002)
21:19:56.488782 http.c:953              <= Recv header:
21:19:56.488790 http.c:994              == Info: Connection #0 to host github.com left intact
21:19:56.488812 http.c:994              == Info: Found bundle for host: 0x1052a8060 [can multiplex]
21:19:56.488816 http.c:994              == Info: Re-using existing connection with host github.com
21:19:56.488821 http.c:994              == Info: Server auth using Basic with user 'martybprod'
21:19:56.488838 http.c:994              == Info: [HTTP/2] [7] OPENED stream for https://github.com/martybprod/tatrame.git/git-receive-pack
21:19:56.488841 http.c:994              == Info: [HTTP/2] [7] [:method: POST]
21:19:56.488842 http.c:994              == Info: [HTTP/2] [7] [:scheme: https]
21:19:56.488844 http.c:994              == Info: [HTTP/2] [7] [:authority: github.com]
21:19:56.488846 http.c:994              == Info: [HTTP/2] [7] [:path: /martybprod/tatrame.git/git-receive-pack]
21:19:56.488848 http.c:994              == Info: [HTTP/2] [7] [authorization: Basic <redacted>]
21:19:56.488849 http.c:994              == Info: [HTTP/2] [7] [user-agent: git/2.55.0]
21:19:56.488851 http.c:994              == Info: [HTTP/2] [7] [accept-encoding: deflate, gzip]
21:19:56.488852 http.c:994              == Info: [HTTP/2] [7] [content-type: application/x-git-receive-pack-request]
21:19:56.488854 http.c:994              == Info: [HTTP/2] [7] [accept: application/x-git-receive-pack-result]
21:19:56.488856 http.c:994              == Info: [HTTP/2] [7] [accept-language: fr-CA, *;q=0.9]
21:19:56.489034 http.c:941              => Send header, 0000000355 bytes (0x00000163)
21:19:56.489038 http.c:953              => Send header: POST /martybprod/tatrame.git/git-receive-pack HTTP/2
21:19:56.489040 http.c:953              => Send header: Host: github.com
21:19:56.489041 http.c:953              => Send header: Authorization: Basic <redacted>
21:19:56.489045 http.c:953              => Send header: User-Agent: git/2.55.0
21:19:56.489047 http.c:953              => Send header: Accept-Encoding: deflate, gzip
21:19:56.489048 http.c:953              => Send header: Content-Type: application/x-git-receive-pack-request
21:19:56.489050 http.c:953              => Send header: Accept: application/x-git-receive-pack-result
21:19:56.489051 http.c:953              => Send header: Accept-Language: fr-CA, *;q=0.9
21:19:56.489053 http.c:953              => Send header:
